url,team,contingent,sport,FinalPosition
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=824e38eb-ae57-47cc-9833-55587cff694b&SetLanguage=en-CA,Ding/Tantakoun,Manitoba,Badminton Doubles Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=88f930b3-062f-4cdf-9f5e-22e42db2d2c5&SetLanguage=en-CA,Dolgova/Hargreaves,Saskatchewan,Artistic Swimming Duet Female,12
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=f7a21d7a-88ca-4c4e-92df-514850192fcd&SetLanguage=en-CA,Doherty/Streeter,New Brunswick,Artistic Swimming Duet Female,14
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=ef2f0d42-f05e-4945-a685-957602eac357&SetLanguage=en-CA,Embro/Millar,Ontario,Figure Skating Dance Novice Mix,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=8446dafd-e166-49da-a50a-1314678d0e59&SetLanguage=en-CA,Elliott/Munro,Nova Scotia,Figure Skating Dance Pre-Novice Mix,8
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=57bd042d-02cc-44ec-a346-8419c4db5cf0&SetLanguage=en-CA,Feng/Lai,Ontario,Badminton Doubles Mix,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=6ca6b5e6-0653-4443-a853-957e70cd30c5&SetLanguage=en-CA,Ford/Hughes,Prince Edward Island,Badminton Doubles Female,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=c92988ff-727b-4afb-b53a-4243639750b4&SetLanguage=en-CA,Farand/Fournier,Quebec,Figure Skating Pairs Novice Mix,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=97bdd23a-66e0-4dcb-888c-8223ca13cd37&SetLanguage=en-CA,Fox/Warren,Ontario,Artistic Swimming Duet Female,10
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=0fe5bf1d-39ba-485f-80b9-96888768d55f&SetLanguage=en-CA,Gambin/Young,Newfoundland and Labrador,Badminton Doubles Male,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=44b50796-0ec2-409c-8414-a01277fc2f55&SetLanguage=en-CA,Gambin/Steele,Newfoundland and Labrador,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=22f07ffc-052a-492e-81ef-3acc57cab332&SetLanguage=en-CA,Gambin/Young,Newfoundland and Labrador,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=5c237fd4-11a1-4004-be67-e1d34bb1645e&SetLanguage=en-CA,Gambin/Steele,Newfoundland and Labrador,Badminton Doubles Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=c198dda2-3080-4454-8959-fcabd5a95a71&SetLanguage=en-CA,Gauthier/Thieren,Quebec,Figure Skating Dance Pre-Novice Mix,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=0539c6e5-4a74-4521-8a5d-e14ed2321c53&SetLanguage=en-CA,Gauthier/Veilleux,Quebec,Artistic Swimming Duet Female,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=9f97f7ca-92a5-4eae-8415-436fceab4f23&SetLanguage=en-CA,Gauvin/Plante,Quebec,Artistic Swimming Duet Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=88fde99c-ccd3-48c8-a730-97926f359c2a&SetLanguage=en-CA,Giang/Yu,British Columbia,Figure Skating Dance Pre-Novice Mix,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=ae2bada6-90f4-4f83-a18f-317cbcad099e&SetLanguage=en-CA,Gillies/Kim,New Brunswick,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=e8b46bd9-2162-4c94-98a8-528ab12bcb57&SetLanguage=en-CA,Giraldeau/Goulet,Quebec,Figure Skating Pairs Pre-Novice Mix,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=3ac87e23-b5cb-4fc2-a43b-c9bae3efeca9&SetLanguage=en-CA,Gover/Patriquin,Ontario,Figure Skating Dance Pre-Novice Mix,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=9ba24fdb-7ec7-46dc-a685-20115eb90343&SetLanguage=en-CA,Guay/Nguyen,Quebec,Badminton Doubles Mix,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=0e069fce-db19-4b81-afa6-517eb20d298b&SetLanguage=en-CA,Greenfield/Kruger,Alberta,Artistic Swimming Duet Female,11
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=22652ec3-555a-41b2-9128-13d981505cef&SetLanguage=en-CA,He/Wong,British Columbia,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=dc81ff4a-b992-48aa-9073-a3c0234e436d&SetLanguage=en-CA,Iqaluq/Kavik,Nunavut,Badminton Doubles Male,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=3049d0b1-8897-471f-ba0a-5697bd214e6d&SetLanguage=en-CA,Jerrett/Watkins,Newfoundland and Labrador,Figure Skating Dance Pre-Novice Mix,7
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=96badce2-6954-4969-9d9f-d352afd41355&SetLanguage=en-CA,Kremer/Kremer,Yukon,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=3b0c94b4-9b74-4bf3-b8a5-84cbff540b99&SetLanguage=en-CA,Kanyasi/White,Nova Scotia,Badminton Doubles Male,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=ec7a2db2-5aba-4e53-a21f-c9af2899a95c&SetLanguage=en-CA,Kobler/Mezel,Yukon,Badminton Doubles Male,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=f8789795-a55c-48d9-ab74-57069cea6f7a&SetLanguage=en-CA,Kudluarok/Akeeagok,Nunavut,Badminton Doubles Male,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=9c4d14ac-b93e-4936-bb6b-8cf8dae732a9&SetLanguage=en-CA,Kwan/Wang,Alberta,Badminton Doubles Mix,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=0dc9ed86-1338-45b7-9a52-21f8d45e78e1&SetLanguage=en-CA,Kyak/Nakashuk,Nunavut,Badminton Doubles Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=a8d807e5-ad88-4da9-a983-cb05ef8ff6e7&SetLanguage=en-CA,Lawther/McCallum,Prince Edward Island,Badminton Doubles Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=31178508-9980-43f3-869a-03856defb921&SetLanguage=en-CA,Leblanc/Ruan,Quebec,Badminton Doubles Female,Silver
